Data e Hora,Tempo (s),Corrente (mA)
2025-07-11 14:38:04,27.12700629234314,-2.5100000000000002
2025-07-11 14:38:04,27.38601779937744,-2.404
2025-07-11 14:38:05,27.646640062332153,-2.3040000000000003
2025-07-11 14:38:05,27.90633487701416,-2.258
2025-07-11 14:38:05,28.16606640815735,-2.156
2025-07-11 14:38:05,28.426509380340576,-2.074
2025-07-11 14:38:06,28.686447858810425,-2.018
2025-07-11 14:38:06,28.94609785079956,-1.9819999999999998
2025-07-11 14:38:06,29.207497596740723,-1.84
2025-07-11 14:38:06,29.46669864654541,-1.794
2025-07-11 14:38:07,29.72642683982849,-1.646
2025-07-11 14:38:07,29.986626386642456,-1.61
2025-07-11 14:38:07,30.246264219284058,-1.479
2025-07-11 14:38:07,30.506786108016968,-1.4189999999999998
2025-07-11 14:38:08,30.766309022903442,-1.3940000000000001
2025-07-11 14:38:08,31.02629780769348,-1.2979999999999998
2025-07-11 14:38:08,31.286345958709717,-1.196
2025-07-11 14:38:08,31.546008825302124,-1.189
2025-07-11 14:38:09,31.806598663330078,-1.121
2025-07-11 14:38:09,32.0662567615509,-1.072
2025-07-11 14:38:09,32.3266875743866,-0.983
2025-07-11 14:38:09,32.58640241622925,-0.923
2025-07-11 14:38:10,32.845826864242554,-0.909
2025-07-11 14:38:10,33.10608625411987,-0.88
2025-07-11 14:38:10,33.3660683631897,-0.809
2025-07-11 14:38:11,33.626123666763306,-0.795
2025-07-11 14:38:11,33.88624095916748,-0.696
2025-07-11 14:38:11,34.14605641365051,-0.739
2025-07-11 14:38:11,34.40646004676819,-0.647
2025-07-11 14:38:12,34.66682028770447,-0.625
2025-07-11 14:38:12,34.926063776016235,-0.664
2025-07-11 14:38:12,35.18669939041138,-0.5860000000000001
2025-07-11 14:38:12,35.466506481170654,-0.554
2025-07-11 14:38:13,35.72636961936951,-0.544
2025-07-11 14:38:13,35.98637628555298,-0.505
2025-07-11 14:38:13,36.24605131149292,-0.47600000000000003
2025-07-11 14:38:13,36.50633144378662,-0.42700000000000005
2025-07-11 14:38:14,36.76668858528137,-0.455
2025-07-11 14:38:14,37.02629375457764,-0.381
2025-07-11 14:38:14,37.28620672225952,-0.402
2025-07-11 14:38:14,37.54697847366333,-0.367
2025-07-11 14:38:15,37.80667018890381,-0.37
2025-07-11 14:38:15,38.06690835952759,-0.33799999999999997
2025-07-11 14:38:15,38.32686758041382,-0.335
2025-07-11 14:38:16,38.58591103553772,-0.331
2025-07-11 14:38:16,38.84623622894287,-0.275
2025-07-11 14:38:16,39.10643768310547,-0.335
2025-07-11 14:38:16,39.3664870262146,-0.314
2025-07-11 14:38:17,39.626683473587036,-0.211
2025-07-11 14:38:17,39.886892795562744,-0.24600000000000002
2025-07-11 14:38:17,40.146881103515625,-0.228
2025-07-11 14:38:17,40.406179428100586,-0.27099999999999996
2025-07-11 14:38:18,40.667701721191406,-0.179
2025-07-11 14:38:18,40.92646408081055,-0.175
2025-07-11 14:38:18,41.18695569038391,-0.19
2025-07-11 14:38:18,41.446900606155396,-0.15100000000000002
2025-07-11 14:38:19,41.706392765045166,-0.087
2025-07-11 14:38:19,41.966633796691895,-0.182
2025-07-11 14:38:19,42.22666120529175,-0.211
2025-07-11 14:38:19,42.48637247085571,-0.158
2025-07-11 14:38:20,42.74619817733765,-0.19699999999999998
2025-07-11 14:38:20,43.00618314743042,-0.129
2025-07-11 14:38:20,43.26636600494385,-0.108
2025-07-11 14:38:20,43.5261766910553,-0.158
2025-07-11 14:38:21,43.78648519515991,-0.13999999999999999
2025-07-11 14:38:21,44.04678678512573,-0.129
2025-07-11 14:38:21,44.30631637573242,-0.10500000000000001
2025-07-11 14:38:21,44.56727361679077,-0.158
2025-07-11 14:38:22,44.82622528076172,-0.112
2025-07-11 14:38:22,45.086079120635986,-0.097
2025-07-11 14:38:22,45.346317291259766,-0.01
